mode,stiffness_scale,offset_m,trial_count,success_rate,peak_contact_force_mean_n,peak_contact_force_std_n,insertion_time_mean_s,settling_time_mean_s,overshoot_mean_m,oscillation_mean_m,final_center_error_mean_m
stiff,0.7,0.0012,4.0,1.0,0.0,0.0,0.5860000000000004,0.001,5.3774988552427936e-05,6.304588678530127e-05,0.0011976356661589991
stiff,0.7,0.0016,4.0,1.0,53.37393031181171,0.007180079746856906,0.6310000000000004,0.34200000000000025,5.045851048165876e-05,8.160318918670037e-05,0.0015243104493507292
stiff,0.7,0.002,4.0,0.0,53.39950779110672,0.0064808037562163944,nan,nan,0.0002532731648072997,9.498950676733886e-05,0.0016172251795871094
stiff,0.7,0.0024,4.0,0.0,53.45827716404038,0.005709289762404997,nan,nan,0.00045671948090599245,0.00011098912098828575,0.0017101376281254926
stiff,0.7,0.0028,4.0,0.0,53.55018737355267,0.004928179230934548,nan,nan,0.000660201269204133,0.0001286301169423773,0.0018030549360363208
stiff,1.0,0.0012,4.0,1.0,0.0,0.0,0.5850000000000004,0.001,4.33780023963887e-05,6.341633540724219e-05,0.0012012380807915454
stiff,1.0,0.0016,4.0,1.0,55.905330292093154,0.007261481128728683,0.6170000000000004,0.34150000000000025,4.712668513486191e-05,8.16727578024194e-05,0.0015300668893860764
stiff,1.0,0.002,4.0,0.0,55.94690945362496,0.006943088305062435,nan,nan,0.00022698650206110378,9.438395479087277e-05,0.0016485499182342614
stiff,1.0,0.0024,4.0,0.0,56.04285504665815,0.006752590262015808,nan,nan,0.00040760538015176685,0.00010897397569678082,0.001767033012842685
stiff,1.0,0.0028,4.0,0.0,56.19292161906946,0.006759244291601914,nan,nan,0.0005882879067307797,0.0001247855023048153,0.0018855096038938276
stiff,1.3,0.0012,4.0,1.0,0.0,0.0,0.5850000000000004,0.001,4.0881174907340554e-05,6.341049986518312e-05,0.0012009548021634964
stiff,1.3,0.0016,4.0,1.0,57.36597351633375,0.006885707201578182,0.6090000000000004,0.34150000000000025,3.61328711542867e-05,8.160706209614708e-05,0.001534925031865701
stiff,1.3,0.002,4.0,0.0,57.4242137327567,0.006609312997013543,nan,nan,0.0002049058610018923,9.407940554134933e-05,0.0016749858133846076
stiff,1.3,0.0024,4.0,0.0,57.55890606691622,0.0063047793669391465,nan,nan,0.0003693504567900439,0.00010793053559202205,0.0018150456246824103
stiff,1.3,0.0028,4.0,0.0,57.76948675989855,0.006119008774873121,nan,nan,0.0005337951192057307,0.00012269369946021436,0.0019551061438578096
stiff,1.6,0.0012,4.0,1.0,0.0,0.0,0.5850000000000004,0.001,3.5705966560823374e-05,6.324379561478718e-05,0.0012015198542727533
stiff,1.6,0.0016,4.0,1.0,58.32913538836185,0.008212295172069728,0.6040000000000004,0.34150000000000025,2.0376911592897803e-05,8.172092445935287e-05,0.001539136191638767
stiff,1.6,0.002,4.0,0.0,58.40397984314038,0.00799112977266549,nan,nan,0.00018476141519732132,9.424430450640479e-05,0.001697695498579836
stiff,1.6,0.0024,4.0,0.0,58.57692876607456,0.007642210483007421,nan,nan,0.00033538605684514086,0.00010779636063622514,0.0018562556315324602
stiff,1.6,0.0028,4.0,0.0,58.847091919314025,0.0072370880068171215,nan,nan,0.00048613070130629156,0.0001220340502441582,0.0020148157494023007
impedance,0.7,0.0012,4.0,1.0,0.0,0.0,0.6372500000000004,0.001,6.0445777038122656e-05,6.367329846916948e-05,0.0012233141137360957
impedance,0.7,0.0016,4.0,1.0,61.38571546314681,0.1678512962706658,0.6857500000000005,0.3700000000000003,2.911096312074407e-05,8.150846903242952e-05,0.0014972363257533899
impedance,0.7,0.002,4.0,0.75,49.82647265674577,3.465129440388715,0.8017500000000006,0.4065000000000003,2.365683912704166e-05,9.606752899013998e-05,0.0015025989807312726
impedance,0.7,0.0024,4.0,0.0,40.96522238321282,4.26263474637494,1.1506666666666427,0.4090000000000003,3.8894089247324846e-05,0.00011233477113041179,0.0015051626450493128
impedance,0.7,0.0028,4.0,0.0,34.67726799422293,3.6681057887905553,1.424499999999954,0.41025000000000034,5.3937023591545325e-05,0.0001297185342510006,0.0015074768834040743
impedance,1.0,0.0012,4.0,1.0,0.0,0.0,0.6210000000000004,0.001,5.9057521604179554e-05,6.358023040475795e-05,0.0012196248473976756
impedance,1.0,0.0016,4.0,1.0,61.41584370358556,0.1448925794994113,0.6582500000000004,0.3582500000000003,2.634884937466618e-05,8.201058276352488e-05,0.0014980725778283022
impedance,1.0,0.002,4.0,1.0,52.31831367407387,3.5177645364762156,0.7647500000000006,0.39075000000000026,2.5247985049289313e-05,9.671005088971254e-05,0.0015037496676738537
impedance,1.0,0.0024,4.0,1.0,41.567823180797525,5.036855822166598,0.7820000000000006,0.3930000000000003,3.8905685653264194e-05,0.00011311236628299598,0.0015068786065068653
impedance,1.0,0.0028,4.0,1.0,36.53047271867928,0.0013705713375972187,0.7820000000000006,0.3945000000000003,5.347250314013545e-05,0.00013061976159290544,0.0015099021479783353
impedance,1.3,0.0012,4.0,1.0,0.0,0.0,0.6130000000000004,0.001,5.775524150381688e-05,6.351113386837007e-05,0.001216826267890561
impedance,1.3,0.0016,4.0,1.0,61.51034337271258,0.10282546382383867,0.6490000000000005,0.35250000000000026,2.4479264173787006e-05,8.177366142875255e-05,0.0014989749692927178
impedance,1.3,0.002,4.0,1.0,52.21737694977929,3.580849311076559,0.7380000000000005,0.3825000000000003,2.3423621456454503e-05,9.639638564495643e-05,0.0015047305973669924
impedance,1.3,0.0024,4.0,1.0,41.74743506407601,2.4756200819500673,0.7380000000000005,0.38525000000000026,3.7405236135452295e-05,0.00011273075070623542,0.0015084931647721053
impedance,1.3,0.0028,4.0,1.0,40.31827161944197,0.0008444174388037239,0.7380000000000005,0.38675000000000026,5.1167763012862656e-05,0.00013017299092682905,0.0015122273233908932
impedance,1.6,0.0012,4.0,1.0,0.0,0.0,0.6070000000000004,0.001,5.660317633879682e-05,6.345905138621798e-05,0.001214665268393143
impedance,1.6,0.0016,4.0,1.0,61.53733069256768,0.031097597876414043,0.6442500000000004,0.34800000000000025,2.2540646095775714e-05,8.162767048312423e-05,0.0014997891563238866
impedance,1.6,0.002,4.0,1.0,50.291326043935214,5.694704955806896,0.7100000000000005,0.3765000000000003,2.097857510661278e-05,9.620265082954106e-05,0.001505638619313002
impedance,1.6,0.0024,4.0,1.0,43.11231289390705,0.0006675138010251354,0.7100000000000005,0.37925000000000025,3.4747522490479604e-05,0.00011249740538488989,0.0015100680633411924
impedance,1.6,0.0028,4.0,1.0,43.11251851146799,0.000654489286374245,0.7100000000000005,0.3810000000000003,4.794523180973875e-05,0.00012989620766602444,0.0015144978990168727
